Record IDs,Factor 1,Factor 2,Factor 3,Cluster
267,0.019128086,-0.381582905,0.354881227,1
268,0.245081655,-0.007922224,0.17788171,1
269,0.057514263,-0.448026649,0.23880866,1
270,-0.121821053,-0.321805672,0.289177338,1
271,0.054965332,-0.217809539,0.187773726,1
272,0.057520378,0.788355919,0.888093661,1
273,-0.006546973,-0.324420306,0.358925494,1
274,-0.092439816,-0.09751153,0.434514057,1
275,0.311223762,0.071943679,0.019257642,1
276,-0.169874827,-0.481829729,0.030973275,1
277,0.064683436,-0.426476167,0.412832921,1
278,-0.294524027,-0.440652278,-1.212141089,1
279,-0.088776765,-0.46739068,0.269434034,1
280,0.085919749,-0.260189789,0.381201915,1
281,0.360895679,0.111160807,0.788820406,1
282,-0.483621429,-0.004750883,-2.071263856,2
283,-0.143115379,-0.432060579,-0.181780942,1
284,-0.239712373,-0.485457878,-1.646715224,2
285,-0.269160341,0.503168351,-0.018837645,1
286,0.083923426,-0.269866051,0.273962536,1
287,0.208027104,-0.402724299,0.404954828,1
288,-0.088579622,-0.316988417,0.038817983,1
289,-0.009396438,-0.355891074,0.415446637,1
290,0.628039361,-0.582832833,0.407481721,1
291,-0.104188151,-0.722053934,-0.170401809,1
292,0.089123437,2.193017128,1.71423099,1
293,0.074621926,-0.376336748,0.396910382,1
294,-0.059751727,0.711326889,0.165178911,1
295,-0.003768399,0.109893608,0.565789357,1
296,0.032921423,-0.333733368,0.041072063,1
297,-0.137448313,1.242340511,0.937937011,1
298,0.063713824,-0.391116145,-1.1111658,1
299,-0.020785375,-0.250785973,0.403365449,1
300,-0.08477087,-0.434111845,0.342126474,1
301,0.017659004,-0.415058492,-0.193008213,1
302,-0.33031092,1.737752025,-0.582445082,1
303,-0.22304047,-0.552943974,-0.803155146,1
304,0.089085168,-0.456581288,-0.015582147,1
305,0.263347987,0.372391038,0.628798638,1
306,0.021427359,-0.241024139,0.17883388,1
307,-0.06650271,-0.411657148,0.343024956,1
308,-0.472473647,-0.277177261,-0.960279232,1
309,-0.079439885,-0.450923457,0.347900566,1
310,-0.109333583,-0.154104048,0.423470572,1
311,0.021106591,-0.41450884,0.392502932,1
312,0.016886727,-0.267185016,0.406324356,1
313,-0.32576508,0.763394839,-0.163978491,1
314,0.080668323,-0.014412958,0.278001894,1
315,-0.063797786,-0.303982955,0.030075697,1
316,-0.190016007,-0.0119839,0.108755783,1
317,-0.233832458,0.801858354,0.563211851,1
318,0.013761095,-0.308518569,0.40415923,1
319,-0.124051489,0.2011111,0.324402204,1
320,-0.200560283,2.84969202,1.137974397,1
321,0.019341611,0.1502598,-0.312349684,1
322,-0.06023783,-0.074759494,0.345128457,1
323,-0.021599081,0.197495219,0.427565489,1
324,-0.370426718,-0.203803097,-1.045181494,1
325,-0.122171498,-0.229644882,0.201214421,1
326,-0.035686241,-0.065604816,0.201116774,1
327,0.023156345,0.975359344,-0.973773829,1
328,-0.063210256,-0.282507776,-0.002117397,1
329,-0.056348912,-0.318739869,0.353169096,1
330,-0.061729344,-0.330351309,0.353785737,1
331,-0.130526335,-0.456287949,-0.277734033,1
332,0.267171838,-0.307426788,-0.67105808,1
333,-0.025537285,-0.70826945,-0.482567391,1
334,-0.114346775,-0.290763695,0.126018234,1
335,0.141631702,0.019983917,0.535771759,1
336,-0.059223262,0.066573907,0.479996463,1
337,-0.18289443,0.496812225,0.335181469,1
338,1.401415816,0.047670907,-0.59844821,1
339,0.008240889,-0.118119621,0.20841871,1
340,-0.00277278,-0.391137648,0.247949192,1
341,0.225686266,-0.159146434,0.394199051,1
342,0.105236495,-0.326926122,0.340056058,1
343,0.004045622,-0.116078468,0.133270215,1
344,-0.113467375,-0.673777605,-0.406474693,1
345,-0.096936646,-0.279900265,0.275352642,1
346,0.064356003,0.718464574,0.597052904,1
347,-0.005348606,-0.23523508,0.256227042,1
348,-0.128134263,-0.393260441,-0.042139631,1
349,-0.145578718,0.834560838,-0.249852491,1
350,-0.017115147,-0.092677362,0.373215005,1
351,-0.010037217,-0.372334245,0.179453075,1
352,-0.213178654,-0.612595615,-0.739521835,1
353,-0.29709762,0.3927404,-1.280976749,2
354,-0.003761296,-0.363109713,0.032071187,1
355,0.025450461,0.25389129,0.003869034,1
356,0.295389244,0.042484312,-1.155356206,1
357,0.139990836,0.036788722,-0.015328239,1
358,-0.142911419,-0.083678703,0.295340717,1
359,0.199899521,-0.232841473,0.324559697,1
360,-0.109206237,-0.356116078,-0.133501209,1
361,-0.039065422,0.053968921,0.316284632,1
362,-0.01942598,-0.281537655,0.423260666,1
363,-0.216144696,-0.510661361,-1.33635754,1
364,-0.345162567,0.1413276,-0.319506116,1
365,-0.105102423,-0.105757647,0.332163758,1
366,0.110158484,-0.084892468,0.488862543,1
367,-0.024230912,-0.309386725,0.368163315,1
368,-0.086196827,-0.428356476,0.34099013,1
369,-0.14222827,0.293400155,0.498402362,1
370,0.080476513,-0.368337217,0.439439054,1
371,0.572914792,-0.512988323,0.293411426,1
372,0.166330816,-0.626315002,-1.546742022,2
373,0.011201825,0.489683992,0.609192018,1
374,-0.314944783,0.186422838,-1.241080931,2
375,-0.099858536,0.28217146,0.730697092,1
376,0.003783967,-0.408238577,0.327452311,1
377,-0.026276556,-0.105563898,-0.096975338,1
378,-0.063367245,-0.136196805,-0.065224177,1
379,-0.036720693,-0.364522812,0.368783922,1
380,-0.281762365,0.105969676,0.101749486,1
381,-0.095814385,-0.287131657,0.412115992,1
382,0.061632181,-0.304145364,0.381998625,1
383,0.365150973,-0.256128063,0.336334082,1
384,-0.678613958,-0.22000217,-1.633015497,2
385,0.308914664,-0.614561436,-0.10931294,1
386,0.32580277,4.512777369,0.522850091,1
387,-0.196755679,0.164266056,-0.024619459,1
388,-0.015881072,-0.399344047,0.344997716,1
389,0.405197868,-0.553267819,0.008069402,1
390,-0.031574404,0.268588632,0.492342095,1
391,0.135374923,-0.32753705,0.262538614,1
392,-0.109162623,-0.025861913,0.359720202,1
393,0.141440929,-0.135915599,0.408246115,1
394,-0.027164616,-0.632699485,-0.591085688,1
395,-0.006770337,-0.338675214,0.412716359,1
396,-0.352703374,0.989495035,-0.188184942,1
397,0.401047518,-0.703126555,-0.063716951,1
398,0.38577863,-0.319503867,-0.021015941,1
399,0.345823134,-0.305084412,-1.500550655,2
400,0.048632451,-0.387999829,0.267745109,1
401,0.642145619,0.679881342,0.273116609,1
402,0.010345991,0.016749394,0.464219009,1
403,0.144791587,0.404199574,0.305168533,1
404,-0.342617613,0.044088241,-1.080943413,1
405,0.067370445,-0.36593831,0.305048904,1
406,-0.117290002,-0.157984284,0.317758036,1
407,0.049661683,0.046557227,0.233195772,1
408,-0.008649902,-0.364832128,-0.463980132,1
409,-0.030189529,-0.221281758,0.16304375,1
410,-0.039070893,-0.176509454,0.523266503,1
411,-0.102282486,-0.31134693,0.061939979,1
412,-0.132340852,-0.336344035,0.030856662,1
413,0.118302853,0.033821522,0.270788008,1
414,0.001381013,-0.666989532,-0.02242304,1
415,-0.018966912,-0.297231574,0.403395892,1
416,-0.507372244,1.216798329,-1.642208171,2
417,0.065514646,0.909127656,0.848550531,1
418,-0.157331006,-0.433446237,-0.04365616,1
419,-0.045310451,1.908912638,1.425440631,1
